"qseqid","sseqid","pident","length","evalue","bitscore","qstart","qend","sstart","send","slen","stitle","orientation"
"NODE_80_length_1305_cov_1590.078176","NC_002035.1",91.476,1314,0,1797,1,1305,1326,13,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","reverse"
"NODE_102_length_1182_cov_644.999095","NC_002035.1",87.559,1061,0,1208,132,1182,3033,1984,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","reverse"
"NODE_161_length_954_cov_1053.161916","NC_002035.1",85.356,758,0,774,200,954,3049,2301,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","reverse"
"NODE_215_length_864_cov_752.776366","NC_002035.1",90.698,860,0,1146,5,864,2056,1197,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","reverse"
"NODE_280_length_785_cov_1466.470339","NC_002035.1",92.192,730,0,1024,65,785,1,730,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","forward"
"NODE_591_length_569_cov_235.459350","NC_002035.1",85.312,497,8.71e-141,503,76,569,3049,2561,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","reverse"
"NODE_704_length_529_cov_5817.329646","NC_002035.1",94.118,527,0,802,3,529,1618,1092,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","reverse"
"NODE_850_length_500_cov_1375.156028","NC_002035.1",91.6,500,0,691,1,500,774,1273,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","forward"
"NODE_1409_length_412_cov_1324.447761","NC_002035.1",91.971,411,3.6e-163,577,2,412,1938,2348,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","forward"
"NODE_2845_length_315_cov_1435.361345","NC_002035.1",89.068,311,4.87e-106,387,3,313,1692,2002,3050,"NC_002035.1 Cucumber mosaic virus RNA 2, complete sequence","forward"
