"qseqid","sseqid","pident","length","evalue","bitscore","qstart","qend","sstart","send","slen","stitle","orientation"
"NODE_24_length_2531_cov_22.517115","NC_005778.1",77.056,2554,0,1421,6,2531,2533,5,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_27_length_2226_cov_8.687762","NC_005778.1",83.146,2219,0,2010,1,2215,6715,4510,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_30_length_2057_cov_80.605556","NC_005778.1",83.58,2028,0,1886,3,2021,419,2439,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_40_length_1801_cov_69.482019","NC_005778.1",81.098,1804,0,1424,9,1801,629,2424,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_61_length_1483_cov_59.992888","NC_005778.1",86.089,1488,0,1594,1,1483,8573,7088,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_114_length_1124_cov_92.510984","NC_005778.1",87.844,1127,0,1317,1,1124,9039,7916,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_117_length_1116_cov_4.400385","NC_005778.1",84.526,1118,0,1105,1,1116,1995,3112,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_124_length_1081_cov_192.083665","NC_005778.1",84.9,1000,0,1011,81,1080,5597,6596,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_132_length_1040_cov_39.653167","NC_005778.1",80.92,1043,0,813,2,1038,3012,1976,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_159_length_956_cov_135.569966","NC_005778.1",89.978,898,0,1147,64,956,9710,8822,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_183_length_911_cov_35.887290","NC_005778.1",81.519,882,0,717,13,891,876,1,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_194_length_893_cov_15.366422","NC_005778.1",80.43,884,0,662,3,881,1,876,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_245_length_830_cov_27.474104","NC_005778.1",87.846,831,0,972,2,830,8040,8868,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_253_length_825_cov_51.383690","NC_005778.1",80.377,795,7.4e-168,593,34,823,789,1,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_352_length_710_cov_250.252765","NC_005778.1",86.197,710,0,769,1,710,7074,6365,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_487_length_619_cov_4.520295","NC_005778.1",85,620,1.5e-178,628,1,619,7157,7775,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_718_length_526_cov_30.690423","NC_005778.1",84.28,528,1.34e-143,512,1,526,8006,8531,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_738_length_522_cov_131.164045","NC_005778.1",88.031,518,3.53e-174,614,1,518,6578,7095,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_851_length_500_cov_56.108747","NC_005778.1",82.828,495,1.68e-122,442,1,494,8072,8565,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_944_length_483_cov_4.140394","NC_005778.1",82.328,481,3.54e-114,414,2,480,8017,8496,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_955_length_481_cov_232.715347","NC_005778.1",81.513,476,1.65e-107,392,6,481,3881,4356,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_1171_length_443_cov_13.849727","NC_005778.1",85.455,440,1.47e-127,459,4,443,7206,6767,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_1287_length_427_cov_13.754286","NC_005778.1",86.525,423,3.04e-129,464,6,427,2533,2112,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","reverse"
"NODE_1589_length_392_cov_69.809524","NC_005778.1",95.116,389,2.6e-174,614,1,389,8843,9231,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_1715_length_383_cov_3.748366","NC_005778.1",90.339,383,5.73e-141,503,1,383,8507,8889,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_1968_length_362_cov_12.484211","NC_005778.1",90.859,361,2.53e-134,481,1,359,9348,9706,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_2295_length_341_cov_5.303030","NC_005778.1",79.71,345,1.22e-62,243,1,341,2279,2619,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
"NODE_2518_length_329_cov_5.805556","NC_005778.1",94.529,329,1.05e-142,508,1,329,8825,9153,9711,"NC_005778.1 Chilli veinal mottle virus, complete genome","forward"
